cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
26.59,228.0,0.0,0.0,0.0,0.69,124907.99,970774.94,1297.16,1198.19,0,0
24.74,220.0,0.0,0.0,0.0,0.41,134883.22,943882.53,1229.53,1195.43,0,0
24.26,220.0,0.0,0.0,0.0,0.43,115004.62,964134.83,1301.2,1247.51,0,0
23.06,228.0,0.0,0.0,0.0,0.36,108146.31,978331.35,1136.63,1275.85,0,0
26.51,227.5,0.0,0.0,0.59,15.51,133448.9,1024702.64,1347.3,1442.73,0,0
25.7,227.0,0.0,0.0,0.0,1.31,125051.71,934257.33,1308.08,1220.64,0,0
26.49,227.5,0.0,0.0,0.0,0.51,130278.31,1027198.4,1261.43,1327.82,0,0
25.76,228.0,0.0,0.0,0.0,0.41,121818.87,990289.38,1309.9,1217.46,0,0
24.09,228.0,0.0,0.0,0.0,0.38,134001.36,927266.9,1173.41,1276.77,0,0
27.62,228.0,0.0,0.0,0.2,12.55,128751.92,1004890.83,1372.25,1290.16,0,0
25.95,209.0,0.0,0.0,0.0,0.8,105410.45,758850.62,1297.0,1116.95,0,0
18.17,213.5,0.0,0.0,0.0,0.96,88146.51,649992.72,894.25,842.36,0,0
22.77,218.0,0.0,0.0,0.0,0.85,97780.74,777724.94,1125.95,1027.04,0,0
26.68,214.0,0.0,0.0,0.0,0.41,122721.11,973261.81,1231.57,1276.9,0,0
26.21,210.0,0.0,0.0,0.0,11.66,127607.27,861943.68,1246.56,1112.34,0,0
30.22,210.0,0.0,0.0,0.0,0.85,114876.55,1083715.55,1361.51,1300.76,0,0
13.93,210.0,0.0,0.0,0.0,0.6,99594.98,547238.56,1156.43,762.83,0,0
25.73,211.0,0.0,0.0,0.0,0.99,130394.52,982887.76,1336.4,1291.44,0,0
24.93,211.0,0.0,0.0,0.0,1.02,126567.29,980734.72,1286.26,1260.36,0,0
30.83,211.0,0.0,0.0,0.11,6.36,115239.5,901869.59,1179.67,1094.05,0,0
27.49,211.0,0.0,0.0,0.57,6.71,116951.47,938654.63,1221.22,1212.79,0,0
33.33,211.0,0.0,0.0,0.0,0.9,108400.45,786502.56,1267.38,1147.37,0,0
22.44,211.0,0.0,0.0,0.0,0.36,147884.47,1157800.64,1365.05,1331.92,0,0
28.0,211.0,0.0,0.0,0.2,0.92,120122.28,757648.59,1156.46,1072.49,0,0
27.31,211.0,0.0,0.0,0.0,7.69,125326.73,988982.55,1270.19,1267.4,0,0
27.39,211.0,0.0,0.0,0.0,7.37,110224.08,1024477.2,1385.83,1399.41,0,0
26.36,211.0,0.0,0.0,0.2,0.82,127303.12,921083.62,1288.83,1172.33,0,0
28.06,211.0,0.0,0.0,0.0,0.38,117855.55,954371.4,1286.1,1380.59,0,0
23.86,211.0,0.0,0.0,0.0,0.4,123696.5,1038600.07,1296.68,1229.82,0,0
25.35,211.0,0.0,0.0,0.2,0.59,137648.64,931156.99,1392.69,1242.49,0,0
28.29,211.0,0.0,0.0,0.0,16.16,116743.83,990046.37,1167.22,1320.96,0,0
28.1,211.0,0.0,0.0,0.0,0.79,123327.1,967012.49,1273.26,1252.35,0,0
24.65,211.0,0.0,0.0,0.18,0.49,125407.95,967853.96,1304.03,1263.95,0,0
27.07,211.0,0.0,0.0,0.18,0.4,126471.67,996643.27,1298.94,1217.48,0,0
27.21,211.0,0.0,0.0,0.21,0.8,115127.3,881555.41,1371.4,1106.63,0,0
32.67,211.0,0.0,0.0,0.0,14.17,123446.74,980488.93,1280.7,1326.02,0,0
28.51,210.0,0.0,0.0,0.0,1.04,126322.43,960916.18,1415.8,1398.29,0,0
23.29,210.0,0.0,0.0,0.1,0.82,128033.22,983395.39,1267.97,1171.75,0,0
26.89,210.0,0.0,0.0,0.0,0.39,126460.18,946102.91,1296.53,1216.0,0,0
25.61,210.5,0.0,0.0,0.0,0.4,127021.4,935829.29,1244.25,1242.79,0,0
27.95,211.0,0.0,0.0,0.18,11.14,114340.15,934557.9,1311.24,1334.11,0,0
31.75,211.0,0.0,0.0,0.2,6.14,122689.95,954370.1,1256.65,1187.95,0,0
18.58,211.0,0.0,0.0,0.0,0.42,105810.2,654570.85,947.43,780.75,0,0
20.86,212.0,0.0,0.0,0.0,0.39,114961.5,862991.64,1178.27,1107.5,0,0
27.5,211.5,0.0,0.0,0.1,0.2,111636.0,934434.08,1216.28,1157.72,0,0
27.78,211.0,0.0,0.0,0.1,0.71,113159.86,860248.42,1230.51,1146.11,0,0
29.79,211.0,0.0,0.0,0.0,14.08,151760.98,1083170.38,1323.22,1369.3,0,0
26.69,211.0,0.0,0.0,0.18,0.79,120190.44,1026629.28,1276.33,1270.32,0,0
27.76,212.0,0.0,0.0,0.0,0.41,107657.56,802993.09,1219.45,1083.91,0,0
30.64,219.5,0.0,0.0,0.0,0.59,133201.06,1048815.02,1380.73,1446.92,0,0
